seq,anchorId,range,rssi,sec,nsec
191,0,5584,-89.05054653234095,153,860000000
191,1,2272,-88.1881812307897,153,863000000
191,3,6617,-90.75478393570933,153,869000000
192,0,5589,-87.95799829546142,153,960000000
192,1,2246,-88.55707460873032,153,962000000
192,3,6713,-89.9282401048695,153,964000000
193,0,5545,-88.44862069593924,154,60000000
193,1,2230,-88.85993000370955,154,77000000
193,3,6405,-91.88801917034492,154,85000000
194,0,5709,-87.95040487432662,154,159000000
194,1,2247,-88.27111050318221,154,163000000
194,3,6462,-91.71782260423598,154,165000000
195,0,5676,-87.76458822979939,154,260000000
195,1,2240,-88.34265883289484,154,271000000
195,3,6427,-89.47692463131816,154,271000000
196,0,5644,-89.19438080665454,154,360000000
196,1,2286,-88.3831404566292,154,375000000
196,3,6483,-89.53374553357985,154,377000000
197,0,5634,-87.93415532817667,154,460000000
197,1,2276,-88.70881449420419,154,470000000
197,3,6461,-88.74382313673397,154,477000000
198,0,5464,-88.20679684617193,154,560000000
198,1,2264,-87.72811146560218,154,569000000
198,3,6501,-90.84499551194098,154,574000000
199,0,5411,-88.5886564882042,154,660000000
199,1,2300,-88.00294328918893,154,663000000
199,3,6511,-89.30050855337356,154,665000000
200,0,5373,-88.65599589085156,154,760000000
200,1,2306,-88.82841044565637,154,765000000
200,3,6511,-89.4996881392827,154,770000000
201,0,5350,-88.22261168747782,154,860000000
201,1,2319,-88.7147010664284,154,868000000
201,3,6522,-89.11828091130837,154,870000000
202,0,5571,-88.64318158177444,154,960000000
202,1,2299,-88.70878470772601,154,963000000
202,3,6669,-90.23471345584387,154,965000000
203,0,5564,-89.27082734355861,155,60000000
203,1,2361,-87.8520367860996,155,63000000
203,3,6664,-89.26065131561234,155,65000000
204,0,5543,-88.07757830557998,155,160000000
204,1,2341,-87.35052311660036,155,173000000
204,3,6714,-91.07139104812472,155,175000000
205,0,5522,-88.36368066852002,155,260000000
205,1,2383,-88.5425854804113,155,262000000
205,3,6760,-90.07712141517428,155,272000000
206,0,5377,-88.12338635618167,155,359000000
206,1,2388,-88.34573375133348,155,364000000
206,3,6709,-89.82340700127178,155,364000000
207,0,5370,-88.31890246881547,155,460000000
207,1,2346,-88.08534186302418,155,468000000
207,3,6754,-89.6002478141026,155,470000000
208,0,5361,-88.050184897547,155,560000000
208,1,2436,-87.71236698535792,155,563000000
208,3,6748,-89.6643464390814,155,573000000
209,0,5298,-88.21518247929677,155,659000000
209,1,2430,-88.22773080040854,155,664000000
209,3,6810,-90.32982305871236,155,668000000
210,0,5180,-88.29811746753967,155,759000000
210,1,2470,-88.61446681685027,155,768000000
210,3,6680,-91.01051905008518,155,770000000
211,0,5183,-88.48829529761056,155,860000000
211,1,2463,-88.92035014703895,155,866000000
211,3,6711,-90.25279184338952,155,870000000
212,0,5144,-88.46691030019669,155,958000000
212,1,2448,-88.17159648477222,155,966000000
212,3,6750,-89.7815534681704,155,978000000
213,0,5177,-87.391420214449,156,60000000
213,1,2468,-87.82439141156085,156,72000000
213,3,6685,-90.07425602960264,156,74000000
214,0,5083,-88.35690013192104,156,160000000
214,1,2480,-87.5684598896085,156,172000000
214,3,6794,-90.37424347443805,156,174000000
215,0,5194,-87.90819482134967,156,260000000
215,1,2509,-88.36955380276322,156,262000000
215,3,6781,-89.04135194495667,156,265000000
216,0,5205,-87.99528581019247,156,360000000
216,1,2485,-88.17691666005014,156,368000000
216,3,6751,-88.99980650457773,156,372000000
217,0,5207,-88.66182245866685,156,460000000
217,1,2531,-88.17794911981353,156,473000000
217,3,6654,-89.68177471574919,156,476000000
218,0,5168,-88.1024062334532,156,560000000
218,1,2567,-88.56043008926034,156,564000000
218,3,6725,-89.91379474997031,156,576000000
219,0,5068,-87.96636332049312,156,660000000
219,1,2579,-88.48353043323856,156,667000000
219,3,6654,-89.27751084682812,156,673000000
220,0,5074,-88.63631509360222,156,760000000
220,1,2629,-87.87391633151361,156,767000000
220,3,6687,-89.59655458849869,156,779000000
221,0,5020,-87.17011845650886,156,860000000
221,1,2610,-88.3848615434317,156,869000000
221,3,6733,-90.19045637467492,156,874000000
222,0,4997,-88.48484237060606,156,960000000
222,1,2619,-88.3505383906377,156,964000000
222,3,6731,-89.45688698071282,156,966000000
223,0,4983,-88.59237260783863,157,60000000
223,1,2664,-88.39044231929897,157,65000000
223,3,6796,-89.302153433597,157,69000000
224,0,4974,-88.88785033409738,157,160000000
224,1,2724,-88.13001639367793,157,165000000
224,3,6791,-88.58213222945365,157,176000000
225,0,4932,-88.24715647672916,157,260000000
225,1,2694,-87.93266892908069,157,270000000
225,3,6853,-89.59583455563272,157,274000000
226,0,4944,-87.92545674661685,157,360000000
226,1,2744,-88.63302496332838,157,374000000
226,3,6827,-90.36061092450667,157,377000000
227,0,4902,-87.93424430767199,157,459000000
227,1,2742,-88.89404794648806,157,465000000
227,3,6838,-90.19149904780964,157,476000000
228,0,4696,-87.84925631258022,157,560000000
228,1,2778,-88.00471033568466,157,564000000
228,3,6860,-89.88491292101656,157,567000000
229,0,4682,-88.107034748385,157,662000000
229,1,2828,-88.33730729505247,157,671000000
229,3,6848,-89.08486316922422,157,683000000
230,0,4689,-88.18507661774682,157,759000000
230,1,2808,-88.63326566681393,157,763000000
230,3,7297,-93.36155481967452,157,766000000
231,0,4711,-88.08924516363577,157,860000000
231,1,2857,-88.3913156319295,157,867000000
231,3,7255,-93.63802022261754,157,868000000
232,0,4648,-88.76869339411334,157,960000000
232,1,2881,-87.89140331990626,157,968000000
232,3,7311,-93.72119778960032,157,970000000
233,0,4632,-88.25465844658585,158,60000000
233,1,2913,-87.57694557799708,158,61000000
233,3,7323,-93.0166290758469,158,75000000
234,0,4588,-88.01574357751406,158,159000000
234,1,2951,-87.96847352952615,158,168000000
234,3,7357,-93.12904160409752,158,180000000
