seq,sec,nsec,X,Y,Z
1280,160,360000000,7.336354968587322,3.358273604621568,1.6798858928457752
1281,160,459000000,7.354660774838519,3.327609564269375,1.6797616162202238
1282,160,559000000,7.37270954052879,3.2963050860988954,1.6787816162202231
1283,160,659000000,7.390758306219061,3.265000607928416,1.677801616220223
1284,160,759000000,7.408807071909331,3.233696129757936,1.6768216162202223
1285,160,860000000,7.426855837599602,3.2023916515874564,1.675841616220222
1286,160,959000000,7.444904603289872,3.1710871734169768,1.6748616162202214
1287,161,59000000,7.462953368980143,3.139782695246497,1.6738816162202212
1288,161,159000000,7.481002134670414,3.108478217076017,1.6729016162202206
1289,161,260000000,7.499050900360684,3.077173738905538,1.6719216162202204
1290,161,359000000,7.517099666050955,3.045869260735058,1.6709416162202195
1291,161,458000000,7.535148431741225,3.0145647825645785,1.6699616162202195
1292,161,559000000,7.553197197431496,2.983260304394099,1.668981616220219
1293,161,659000000,7.571245963121767,2.951955826223619,1.6680016162202187
1294,161,759000000,7.589294728812037,2.9206513480531395,1.667021616220218
1295,161,859000000,7.607343494502308,2.88934686988266,1.6660416162202178
1296,161,958000000,7.623837360345986,2.8590046699173977,1.6687506794487488
1297,162,58000000,7.641264290402782,2.8294893176708675,1.6765613977446836
1298,162,159000000,7.660504871061202,2.7988607469750337,1.680137982972821
1299,162,259000000,7.678967011740762,2.7676396988719763,1.679624638868009
1300,162,359000000,7.697015777431033,2.7363352207014966,1.6786446388680083
1301,162,459000000,7.666507083207678,2.706401935176615,1.677664638868008
1302,162,559000000,7.628742676583437,2.6766735405068225,1.6766846388680077
1303,162,659000000,7.59228531664278,2.64636701255805,1.6770116855515935
1304,162,759000000,7.55824641091778,2.616126607023193,1.6797571864508525
1305,162,859000000,7.521958924379323,2.5869408600070254,1.6802541065366543
1306,162,959000000,7.484382476626813,2.557399035933919,1.6794620654083916
1307,163,58000000,7.446618070002572,2.5276706412641268,1.6784820654083912
1308,163,159000000,7.408853663378331,2.4979422465943344,1.6775020654083908
1309,163,259000000,7.3710892567540895,2.468213851924542,1.6765220654083903
